电影名称	评分	评价数量	
忠犬八公物语	9.0	60301人	
再次出发之纽约遇见你	8.5	171734人	
海盗电台	8.6	166563人	
青蛇	8.4	224165人	
东京物语	9.2	51176人	
哪吒闹海	8.9	81477人	
绿里奇迹	8.7	107715人	
末路狂花	8.7	105747人	
勇闯夺命岛	8.5	143259人	
头脑特工队	8.7	229134人	
﻿终结者2：审判日	8.6	142428人	
这个男人来自地球	8.5	182859人	
源代码	8.3	412389人	
卡萨布兰卡	8.6	125959人	
房间	8.8	154802人	
新龙门客栈	8.5	185752人	
黑客帝国3：矩阵革命	8.5	157471人	
荒野生存	8.6	128746人	
迁徙的鸟	9.1	52132人	
变脸	8.4	216396人	
模仿游戏	8.5	257459人	
城市之光	9.2	44470人	
E.T. 外星人	8.5	154315人	
美国丽人	8.4	187027人	
发条橙	8.4	187469人	
黄金三镖客	9.1	51738人	
燕尾蝶	8.6	108473人	
英国病人	8.4	175132人	
无耻混蛋	8.4	225116人	
初恋这件小事	8.3	464911人	
叫我第一名	8.6	109471人	
非常嫌疑犯	8.6	117220人	
一个叫欧维的男人决定去死	8.7	116361人	
爱在午夜降临前	8.8	116833人	
穆赫兰道	8.3	236508人	
﻿勇士	8.9	88111人	
血战钢锯岭	8.7	315760人	
上帝也疯狂	8.6	96643人	
无敌破坏王	8.6	185431人	
疯狂的石头	8.2	315889人	
国王的演讲	8.3	341856人	
你的名字。	8.4	463537人	
血钻	8.5	132406人	
无人知晓	9.0	54472人	
蓝色大门	8.3	273773人	
步履不停	8.8	71242人	
枪火	8.6	100190人	
大卫·戈尔的一生	8.6	93082人	
爱·回家	9.0	47528人	
彗星来的那一夜	8.4	176695人	
遗愿清单	8.5	128667人	
千钧一发	8.7	85952人	
我爱你	9.0	57354人	
荒岛余生	8.5	134313人	
麦兜故事	8.5	128496人	
暖暖内含光	8.4	145150人	
曾经	8.3	203555人	
月球	8.5	143970人	
蝴蝶	8.6	95187人	
巴黎淘气帮	8.6	104387人	
