电影名称	评分	评价数量	
谍影重重	8.5	208812人	
谍影重重2	8.6	173398人	
忠犬八公物语	9.0	67854人	
模仿游戏	8.6	281232人	
你的名字。	8.4	534456人	
惊魂记	8.9	92262人	
青蛇	8.4	243185人	
一个叫欧维的男人决定去死	8.7	137660人	
再次出发之纽约遇见你	8.5	189750人	
哪吒闹海	8.9	89710人	
﻿完美陌生人	8.6	226297人	
东京物语	9.2	56528人	
小萝莉的猴神大叔	8.5	182161人	
黑客帝国3：矩阵革命	8.5	171172人	
源代码	8.3	439452人	
新龙门客栈	8.5	202070人	
终结者2：审判日	8.6	153022人	
末路狂花	8.7	114146人	
碧海蓝天	8.7	112662人	
秒速5厘米	8.3	327469人	
绿里奇迹	8.7	115879人	
这个男人来自地球	8.5	198497人	
海盗电台	8.6	174213人	
勇闯夺命岛	8.6	152079人	
城市之光	9.2	49108人	
初恋这件小事	8.3	500260人	
无耻混蛋	8.4	240480人	
卡萨布兰卡	8.6	134077人	
变脸	8.4	229469人	
E.T. 外星人	8.5	166589人	
爱在午夜降临前	8.8	127974人	
发条橙	8.4	199029人	
步履不停	8.8	90011人	
黄金三镖客	9.1	56243人	
无敌破坏王	8.6	201138人	
﻿疯狂的石头	8.3	346443人	
美国丽人	8.5	198645人	
荒野生存	8.6	136402人	
迁徙的鸟	9.1	54443人	
英国病人	8.5	184072人	
海街日记	8.6	146422人	
彗星来的那一夜	8.4	201116人	
国王的演讲	8.3	365081人	
非常嫌疑犯	8.6	125495人	
血钻	8.5	145046人	
燕尾蝶	8.6	112774人	
聚焦	8.8	139574人	
勇士	8.9	93027人	
叫我第一名	8.6	115961人	
穆赫兰道	8.3	251122人	
遗愿清单	8.5	141925人	
枪火	8.6	107699人	
上帝也疯狂	8.6	102255人	
我爱你	9.0	63391人	
黑鹰坠落	8.6	126579人	
荒岛余生	8.5	145886人	
大卫·戈尔的一生	8.6	102727人	
千钧一发	8.7	94211人	
蓝色大门	8.3	285852人	
2001太空漫游	8.7	102047人	
